,City,CO,NO2,O3,SO2,PM2.5,PM10
270,Lancaster,273.71,9.85,31.47,0.45,4.73,6.82
271,Costa Mesa,574.11,84.31,17.52,8.11,15.76,25.0
272,Kent,340.46,15.25,17.52,1.37,7.76,8.63
273,Paterson,333.79,21.59,10.19,1.45,4.83,6.52
274,Saint Cloud,250.34,4.76,68.67,1.15,3.1,4.48
275,Visalia,423.91,29.13,13.95,0.23,23.39,28.61
276,Mobile,226.97,2.29,63.66,0.7,4.98,6.04
277,Sunrise,216.96,1.67,78.68,0.2,5.23,7.64
278,Temecula,367.17,18.85,77.96,5.54,17.93,22.66
279,Brentwood,263.69,15.59,63.66,3.37,5.94,13.3
280,Newport Beach,574.11,84.31,17.52,8.11,15.76,25.0
281,Stockton,267.03,16.11,56.51,2.89,6.4,13.64
282,Town 'n' Country,213.62,0.63,105.86,0.83,8.85,23.39
283,Escondido,634.19,70.6,17.88,2.21,32.78,42.59
284,Melbourne,223.64,2.21,66.52,1.97,2.82,4.41
285,Carson,667.57,74.03,0.11,4.47,19.43,30.2
286,Mountain View,250.34,10.97,54.36,0.77,5.79,13.4
287,Baldwin Park,807.76,139.83,0.76,6.5,28.45,40.0
288,Tuscaloosa,230.31,2.01,59.37,0.19,4.3,4.65
289,Longmont,220.3,9.43,27.18,0.29,3.95,5.22
290,Waldorf,216.96,4.41,35.05,0.97,1.19,1.5
291,Rancho Cordova,277.04,12.51,64.37,2.06,6.19,10.51
292,Roanoke,243.66,5.18,40.41,2.24,1.23,1.29
293,Montgomery,233.65,3.68,62.94,1.13,4.71,5.31
294,Flower Mound,420.57,30.85,1.59,0.14,7.36,9.94
295,Missoula,240.33,10.28,41.49,0.14,5.56,8.46
296,Livonia,211.95,3.21,37.19,0.38,0.57,0.79
297,Troy,270.37,8.74,18.06,0.41,1.88,2.29
298,Southfield,211.95,2.59,38.27,0.27,0.6,0.76
299,El Cajon,647.54,68.55,0.58,2.92,26.59,35.25
300,Palm Bay,213.62,2.25,78.68,0.29,3.17,5.31
301,Farmington Hills,211.95,2.59,38.27,0.27,0.6,0.76
302,Grand Prairie,921.25,57.58,0.0,1.86,17.69,25.02
303,Fayetteville,257.02,8.31,20.21,0.25,5.11,12.72
304,West Covina,807.76,139.83,0.76,6.5,28.45,40.0
305,Tucson,253.68,8.14,48.64,0.45,6.76,15.27
306,Sunnyvale,250.34,10.97,54.36,0.77,5.79,13.4
307,Kenner,243.66,5.66,100.14,4.53,15.22,17.14
308,Avondale,243.66,7.88,52.93,0.2,6.59,15.38
309,Carlsbad,287.06,12.51,64.37,1.06,10.27,16.93
310,Elgin,350.48,29.13,2.95,0.06,4.47,6.58
311,Federal Way,330.45,19.54,37.91,3.58,6.54,8.71
312,Fort Myers,203.61,0.66,81.54,0.22,2.13,5.32
313,Appleton,287.06,13.88,2.15,0.1,2.59,3.42
314,Vista,323.77,21.42,44.35,3.01,11.29,19.02
315,Allen,323.77,20.74,21.1,0.13,4.32,6.37
316,Redlands,473.98,15.94,161.65,7.63,62.22,67.71
317,Kendall,216.96,2.23,77.25,0.37,5.11,7.55
318,Green Bay,290.39,20.56,6.08,0.06,2.96,3.98
319,Los Angeles,801.09,86.37,0.0,5.07,21.61,33.88
320,Bayonne,223.64,1.17,80.82,0.77,1.29,2.11
321,Flint,211.95,2.23,43.99,0.22,0.52,0.6
322,Erie,280.38,6.6,57.22,5.19,4.11,4.27
323,Long Beach,360.49,29.13,61.51,5.48,10.96,18.21
324,Ellicott City,323.77,11.48,21.1,0.68,8.21,9.12
325,The Villages,216.96,1.11,95.84,0.88,8.5,15.31
326,San Ramon,210.29,1.08,60.8,0.23,1.41,2.27
327,Baton Rouge,247.0,9.0,40.77,0.95,8.16,9.18
328,Las Vegas,574.11,69.92,0.59,2.38,15.05,32.0
329,Quincy,270.37,11.65,50.07,2.24,4.43,5.06
330,Framingham,283.72,12.51,35.41,1.24,4.95,6.1
331,Nampa,594.14,45.93,3.49,0.28,21.79,32.01
332,Deerfield Beach,223.64,3.04,77.96,0.26,5.31,7.73
333,O'Fallon,243.66,6.34,43.27,0.27,4.17,4.63
334,Salem,293.73,10.97,2.59,0.17,7.01,9.35
335,Centennial,787.74,71.29,0.0,3.16,19.64,25.42
336,Harlingen,250.34,9.43,54.36,3.04,3.62,5.38
337,Downey,1522.06,128.87,0.0,9.06,44.84,63.09
338,Lorain,283.72,13.2,23.25,3.46,3.01,3.5
339,Highlands Ranch,787.74,71.29,0.0,3.16,19.64,25.42
340,Tracy,290.39,19.02,48.64,1.86,7.0,15.14
341,Youngs,257.02,5.74,35.76,0.48,2.22,2.68
342,San Antonio,253.68,6.26,53.64,0.4,5.0,6.62
343,Wyoming,247.0,8.91,31.11,0.09,1.67,2.54
344,Largo,213.62,0.73,105.86,0.78,8.98,25.7
345,Newport News,236.99,2.29,39.34,0.26,5.76,6.01
346,Laredo,907.9,34.27,15.56,2.89,16.73,19.67
347,San Tan Valley,520.71,45.24,45.78,4.89,16.49,26.13
348,Atascocita,600.82,52.09,0.25,1.21,15.55,21.48
349,Miramar,216.96,1.34,82.97,0.26,5.15,7.6
350,Renton,300.41,14.22,51.5,3.01,5.17,7.02
351,Jersey City,473.98,49.35,0.03,6.2,8.5,12.24
352,Vallejo,216.96,1.89,80.82,0.45,4.03,9.23
353,Cleveland,297.07,10.2,32.19,2.03,3.29,3.57
354,Tempe,547.41,56.89,37.55,3.7,18.39,28.97
355,Toms River,243.66,5.06,60.8,0.53,1.73,2.48
356,Warwick,243.66,11.31,8.4,1.36,5.43,6.07
357,Waco,267.03,10.45,50.07,1.21,7.45,8.64
358,Bk,460.63,47.3,0.05,6.91,7.63,11.93
359,Alameda,240.33,5.74,80.11,1.89,3.98,10.72
360,Thornton,417.23,42.84,11.62,1.16,13.94,17.26
361,Waukegan,357.15,23.65,4.69,0.11,5.31,9.2
362,Bellevue,313.76,16.62,33.26,2.62,6.6,8.92
363,Omaha,213.62,1.89,63.66,0.32,3.19,4.66
364,Caguas,168.56,0.61,16.09,0.33,4.1,5.65
365,Baltimore,323.77,11.48,21.1,0.68,8.21,9.12
366,Orem,594.14,80.88,2.95,3.22,23.84,30.07
367,Parma,330.45,4.88,19.31,0.23,5.77,8.57
368,New Haven,226.97,3.51,58.65,0.48,2.24,2.5
369,Manchester,236.99,3.98,42.2,1.4,1.84,2.16
370,Irving,720.98,56.89,0.0,1.0,13.71,18.25
371,Garland,507.36,42.84,0.14,1.0,8.95,11.87
372,Wilmington,343.8,33.59,5.81,2.89,5.08,6.9
373,Mount Vernon,270.37,11.14,32.9,0.43,3.55,3.98
374,Brooklyn Park,230.31,3.04,64.37,2.18,2.91,3.76
375,Colorado Springs,247.0,10.8,64.37,1.31,4.16,7.18
376,Bend,210.29,6.17,33.98,0.01,3.49,4.23
377,San Diego,297.07,17.99,67.23,1.4,10.45,16.79
378,Hialeah,216.96,1.34,82.97,0.26,5.15,7.6
379,Livermore,283.72,17.65,55.08,1.97,6.46,14.68
380,New Orleans,260.35,10.2,89.41,3.99,14.96,17.23
381,Cedar Park,250.34,4.93,41.84,0.38,5.72,9.03
382,Milpitas,257.02,12.34,69.38,2.03,5.92,13.52
383,Norman,253.68,7.37,52.93,0.27,4.94,6.05
384,Oshkosh,287.06,14.57,7.78,0.22,2.61,3.46
385,Kansas City,260.35,13.71,39.7,0.86,3.18,4.15
386,Bethlehem,243.66,17.31,37.55,1.91,7.96,15.03
387,Walnut Creek,247.0,10.37,70.81,3.58,4.84,11.84
388,Westminster,236.99,14.57,38.98,7.75,3.26,4.51
389,Springdale,257.02,8.31,20.21,0.25,5.11,12.72
390,New York,473.98,49.35,0.03,6.2,8.5,12.24
391,Las Cruces,236.99,9.0,40.41,0.36,9.35,24.72
392,Perris,417.23,33.93,47.21,8.46,15.81,23.07
393,Decatur,290.39,13.2,17.35,0.16,4.32,4.87
394,Yakima,300.41,19.54,39.7,0.18,6.14,7.43
395,Indio,370.5,13.71,71.53,1.83,21.2,25.01
396,Sacramento,250.34,6.51,71.53,0.75,5.53,9.75
397,Surprise,201.94,1.86,61.51,0.12,4.8,10.7
398,Saint Louis,460.63,32.9,0.53,0.37,9.29,12.25
399,Meridian,233.65,2.83,51.5,0.42,6.79,8.03
400,Folsom,333.79,20.91,65.8,2.86,11.1,15.06
401,Laguna Niguel,433.92,40.78,41.13,2.56,12.63,24.06
402,Dearborn,220.3,5.66,31.83,0.94,0.84,1.2
403,Guaynabo,168.56,0.61,16.09,0.33,4.1,5.65
404,Pharr,280.38,12.0,52.93,3.82,6.53,8.41
405,Fontana,654.22,63.06,76.53,12.4,60.87,71.21
406,Fort Worth,961.3,60.32,0.0,1.51,19.96,28.96
407,Nashua,260.35,8.57,35.05,0.9,3.27,4.34
408,Union City,230.31,4.63,80.82,1.18,4.85,12.59
409,Napa,223.64,2.68,72.24,0.4,5.19,10.07
410,Henderson,907.9,137.09,0.04,5.25,25.94,44.38
411,Portsmouth,230.31,5.44,78.68,3.82,3.51,5.23
412,Milwaukee,507.36,34.27,0.45,0.28,10.57,13.13
413,Corona,988.01,113.79,0.0,10.01,39.86,55.44
414,New Rochelle,277.04,13.2,31.47,1.09,3.04,4.76
415,Fort Smith,283.72,14.05,6.44,0.29,6.57,9.58
416,Fargo,230.31,1.1,70.81,0.09,0.5,0.53
417,West Valley City,767.71,105.56,3.26,6.26,55.62,64.32
418,Memphis,440.6,28.79,1.2,0.92,17.99,19.56
419,Compton,667.57,74.03,0.11,4.47,19.43,30.2
420,Boulder,175.24,2.49,42.92,0.15,2.07,2.86
421,Rio Rancho,180.24,2.08,49.35,0.06,4.03,14.28
422,Lowell,247.0,6.94,41.84,0.94,3.83,4.93
423,Jacksonville,220.3,1.54,57.22,0.35,5.78,6.95
424,Paradise,574.11,69.92,0.59,2.38,15.05,32.0
425,Pine Hills,208.62,1.06,81.54,0.37,5.07,12.54
426,Marysville,330.45,13.54,19.49,2.03,6.55,8.22
427,Overland Park,230.31,7.28,45.06,0.31,2.04,2.75
428,Redding,400.54,22.96,45.06,0.41,16.78,19.29
429,Kalamazoo,213.62,4.41,36.12,0.62,1.21,1.83
